"Location Name","Location Name ZH","Thai / Alt Name","Google Maps URL","Category","Notes","Notes ZH","Source URL","Source Tags","Verification Status","Lat","Lng","Icon","Country Code","Destination Key","Slug"
"Hangetsu Omakase","花月 無菜單日料","花月 (ฮันเก็ตสึ)","https://www.google.com/maps/place/Hangetsu+Omakase/@13.7346612,100.5869579,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29f1ab8c25ddb:0xc21f506cddd61be0!8m2!3d13.7346612!4d100.5869579!16s%2Fg%2F11p55rg0_v?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","Japanese omakase at 287 Vibes 28 Ekkamai Rd, Watthana; ★4.8 (362), ฿1,000+. Lingorm/Orm-visited per Douban compilation.","位於 Ekkamai Vibes 28 的日式無菜單料理，฿1,000+，豆瓣合集中的 Lingorm 相關餐廳。","https://www.douban.com/group/topic/311908182/","Douban","Published","13.7265000","100.5830000","🍣","TH","bangkok","hangetsu-omakase"
"Hint Coffee","Hint Coffee 韓系咖啡廳（吞武里）","","","Cafe","Korean-inspired minimalist cafe at 168 Soi Krung Thonburi 10, Khlong San (Thonburi side), three floors with distinct seating styles. Known for creative drinks (matcha with marshmallow, latte with popcorn) and puddings/cheesecakes. Open Tue-Sun 9:00-17:00, closed Mon.","位於吞武里克隆山區、Krung Thonburi 10巷168號的韓系極簡風咖啡廳，共三層樓、座位風格各異。招牌是創意飲品（棉花糖抹茶、爆米花拿鐵）與布丁及起司蛋糕。週二至週日9:00-17:00營業，週一公休。","https://www.siam2nite.com/en/locations/cafes/hint-coffee","","Paused","","","☕","","","hint-coffee-khlong-san"
"HITORI SHABU (Siam Paragon)","HITORI SHABU 一人涮涮鍋（暹羅百麗宮）","","https://www.google.com/maps/search?api=1&query=HITORI+SHABU+Siam+Paragon+991+Rama+I+Rd%2C+Pathum+Wan%2C+Bangkok+10330","Restaurant","Japanese shabu-shabu/sukiyaki restaurant (Maguro Group) on G floor of Siam Paragon, 991 Rama I Rd. Name means ""alone"" in Japanese - individual hot pot sets with premium ingredients incl. Wagyu. Open 10:00-22:00.","位於暹羅百麗宮(Siam Paragon)一樓（991 Rama I Rd）的日式涮涮鍋/壽喜燒餐廳，隸屬Maguro Group，主打一人一鍋、可選和牛等高級食材，營業10:00-22:00。","https://www.maguro.co.th/en/our-brands/hitori-shabu","","Paused","13.7458000","100.5348000","🍽","TH","bangkok","hitori-shabu-siam-paragon"
"Hong Sieng Kong","河邊咖啡廳","ฮงเซียงกง","https://www.google.com/maps/place/Hong+Sieng+Kong/@13.7347953,100.5115915,17z/data=!3m1!4b1!4m6!3m5!1s0x30e299a0160ccde7:0x2b7dafd1bfe99787!8m2!3d13.7347953!4d100.5115915!16s%2Fg%2F11j6dv6qsn?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Cafe","Riverside café in the Chinatown area. Featured in Alek's exploration. To visit. Tip: best visited at sunset for photos; indoor air-conditioned seating available.","Alek探店系列 - 老城區，下次要去。建議日落時去拍照，也有室內冷氣座位；這區可考慮租腳踏車。","https://www.threads.com/@ddding._.dong/post/DMNK2DoxybR","Threads","Published","13.7347950","100.5115910","☕","TH","bangkok","hong-sieng-kong"
"Huen Muan Jai","Huen Muan Jai 北泰餐廳","เฮือนม่วนใจ๋
","https://www.google.com/maps/place/Huen+Muan+Jai/@18.7998592,98.9756064,17z/data=!3m1!4b1!4m6!3m5!1s0x30da3a8c183393ed:0x6bad4b8a8337d731!8m2!3d18.7998592!4d98.9756064!16s%2Fg%2F11b6b9d9ym?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","Orm visited.

Ref: https://www.threads.com/@vein_0o/post/DQvZ4XOChok","Orm visited

Ref: https://www.threads.com/@vein_0o/post/DQvZ4XOChok","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","18.7998610","98.9755990","🍽","TH","chiang-mai","huen-muan-jai"
"แก่น I KAEN","แก่น I KAEN 孔敬餐廳","","https://www.google.com/maps/place/%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99+I+KAEN/@16.4638854,102.8257428,17z/data=!3m1!4b1!4m6!3m5!1s0x31228b8eb5694c7f:0xf3e7587c428c676d!8m2!3d16.4638854!4d102.8257428!16s%2Fg%2F11rxqc4_26?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","KAEN (แก่น) — recommended by the Michelin Guide.

Cuisine: Modern Isan cuisine.
Features: This casual fine-dining restaurant refines traditional northeastern Thai cuisine. The chef couple skillfully use rare ingredients sourced directly from local farmers and modern, innovative cooking techniques to reinterpret the bold, layered sour and spicy flavors of Isan food.

Recommended: Highly recommended for anyone who wants to enjoy an elevated version of refined Thai-Isan flavors in a comfortable setting. Advance reservations are recommended.","KAEN (แก่น) ── 米其林指南推薦

料理風格：新派當代依善料理（Modern Isan Cuisine）
特色：這是一家將傳統泰國東北料理精緻化的 Casual Fine Dining 餐廳。主廚夫妻巧妙地運用許多從當地小農手中直接採購的稀有食材，透過現代創新的烹調手法，重新詮釋依善料理那種大膽、多層次的酸辣風味。

推薦：如果想在舒適的環境中品嚐升級版的精緻泰式伊桑風味，非常推薦來此用餐（建議提早訂位）。","https://www.threads.com/@arrchhiee_0rm0rm_/post/DadUhBmk3jN","Threads","Published","16.4638850","102.8257360","🍽","TH","khon-kaen","i-kaen"
"iki haus","iki haus 復古摩登咖啡廳（Sukhumvit 71）","อิคิเฮ้าส์","","Cafe","Modern-retro cafe at 329 Sukhumvit 71, Phra Khanong Nuea, Watthana. Mid-century furniture, cream tones with bright accents. Known for brunch, croissants, iced matcha latte, canele. Pet-friendly, indoor/outdoor seating, parking for ~20 cars. Open Tue-Sun 8:00-17:00 (last order 16:30), closed Mon.","位於蘇坤蔚71巷329號的復古摩登風咖啡廳。中世紀風格家具，米色調搭配亮色點綴。招牌是早午餐、可頌、冰抹茶拿鐵、可麗露。寵物友善，室內外座位，約20個停車位。週二至週日8:00-17:00（最後點餐16:30）營業，週一公休。","https://www.facebook.com/ikihaus.bkk/","","Paused","","","☕","","","iki-haus-sukhumvit-71"
"IMPACT Arena","IMPACT Arena","อิมแพ็ค อารีน่า","https://www.google.com/maps/place/IMPACT+Arena/@13.9115136,100.54838,17z/data=!3m1!4b1!4m6!3m5!1s0x30e28374759ade4b:0x98e04841a8c7a8b0!8m2!3d13.9115136!4d100.54838!16s%2Fg%2F11fj329ck1?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Activity","Fan Con","Fan Con","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.9115136","100.5483800","🎯","TH","bangkok","impact-arena"
"InterContinental Khao Yai Resort","考艾洲際度假酒店","","https://www.google.com/maps/place/%E8%80%83%E8%89%BE%E6%B4%B2%E9%9A%9B%E9%A3%AF%E5%BA%97%E5%BA%A6%E5%81%87%E6%9D%91/@14.5116433,101.5350323,17z/data=!3m1!4b1!4m9!3m8!1s0x311c2be0b76795e1:0xc6e47a5f2e45b7af!5m2!4m1!1i2!8m2!3d14.5116433!4d101.5350323!16s%2Fg%2F11q956r9hz?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Hotel","Train-themed luxury resort near Khao Yai national park; Lingorm visited on her travel show; ~2.5 hrs from Bangkok.","以火車為主題的奢華度假村，位於考艾國家公園附近；玲玲曾在旅遊節目中到訪，距曼谷約 2.5 小時車程。","https://www.kkday.com/zh-hk/blog/111889/lingorm-bangkok-itinerary-attractions-guide","KKday","Published","14.5116433","101.5350323","🏨","TH","khao-yai","intercontinental-khao-yai-resort"
"Jae Wan","Jae Wan 冰店","แจ๊ะหวาน","https://www.google.com/maps/place/Jae+Wan/@13.7396492,100.5222225,17z/data=!3m1!4b1!4m6!3m5!1s0x30e299293ebc3217:0xdb2ef36a28b04a9e!8m2!3d13.7396492!4d100.5222225!16s%2Fg%2F1ydxc43jr?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Cafe","Ice dessert shop where Xiao Ao (MIRROR member 小奧) was spotted in April; also a Lisa (BLACKPINK) same-spot location. Mixed online reviews — skipped this trip. To visit next time.","小奧四月被偶遇的冰店，也是 Lisa 同款。評價很兩極，這次沒有排進行程，下次要去。","https://www.threads.com/@ddding._.dong/post/DMNK2DoxybR","Threads","Published","13.7396490","100.5222260","🍦","TH","bangkok","jae-wan"
"James Boulangerie (Gaysorn Amarin)","James Boulangerie 可頌名店（Gaysorn Amarin）","","","Cafe","Premium bakery brand (founded by Chef James Pachon Thekingkiartti, known for sparking Bangkok's 'croissant queue fever') - first CBD branch on the 3rd floor of Gaysorn Amarin, 502 Ploenchit Rd. Signature limited Brioche French Toast (20 servings/day). Closes 18:00.","由James主廚創立、掀起曼谷「可頌排隊熱潮」的高端麵包品牌，首間市中心分店位於Gaysorn Amarin 3樓（502 Ploenchit路）。招牌限量布里歐法式吐司（每日限20份）。營業至18:00。","https://www.forbesthailand.com/forbes-life/eatery/james-boulangerie-open-new-store-at-gaysorn-amarin","","Paused","","","☕","","","james-boulangerie-gaysorn-amarin"
"Jay Hieng Fishball Noodles","魚丸麵","เจ๊เฮียงลูกชิ้นปลาก๋วยเตี๋ยว","https://maps.google.com/?ftid=0x30e29910477b0111","Restaurant","Fishball noodle shop on Charoen Krung road. Featured in Alek's exploration. To visit. Recommended: pink fermented tofu soup noodles, braised pork dry noodles, clear fishball noodles.","Alek探店系列 - 石龍軍路，下次要去。同款：粉紅腐乳湯麵、五花肉乾拌麵、清湯魚丸麵。","https://www.threads.com/@ddding._.dong/post/DMNK2DoxybR","Threads","Published","13.7334770","100.5134960","🍜","TH","bangkok","jay-hieng-fishball-noodles"
"Jurassic World: The Experience Bangkok","Jurassic World 曼谷體驗展","","https://www.google.com/maps/search/?api=1&query=ChIJqdO6PACZ4jARPsmRMJG9iWM&query_place_id=ChIJqdO6PACZ4jARPsmRMJG9iWM","Activity","Orm visited the Jurassic World theme park.

https://www.instagram.com/p/DNhAcK_z0FM/","Orm visited Jurassic World theme park
Orm 造訪侏羅紀公園主題樂園

https://www.instagram.com/p/DNhAcK_z0FM/","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7043600","100.5021910","🎯","TH","bangkok","jurassic-world-the-experience-bangkok"
"KAEW BOUTIQUE","KAEW BOUTIQUE 精品店","","https://www.google.com/maps/search/?api=1&query=KAEW+BOUTIQUE+Bangkok","Shopping","Lingling likes it.

Ref:
https://www.threads.com/@tunpopinuk/post/DQpt6e1jNz6","鄺鄺愛吃

Ref:
https://www.threads.com/@tunpopinuk/post/DQpt6e1jNz6","https://maps.app.goo.gl/SThB6uC4zygrANNY7
https://www.onebangkok.com/en/location/
https://www.openstreetmap.org/way/608350816","Threads","Published","13.7270900","100.5472800","🛍","TH","bangkok","kaew-boutique"
"Kanom-Jaoka X ZEPHYR","Kanom-Jaoka X ZEPHYR 甜點店","","https://www.google.com/maps/search/?api=1&query=Kanom-Jaoka+X+ZEPHYR+28+Soi+Mu+Ban+Suan+Non+Ville%2C+Bang+Rak+Noi%2C+Mueang+Nonthaburi+11000","Restaurant","The puffed rice that Lingling said was delicious.
Lingling recommended puffed rice (not popcorn).","鄺鄺說好吃的爆米花
Lingling recommended pop rice (not pop corn)","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.8798280","100.4587080","🍽","TH","bangkok","kanom-jaoka-x-zephyr"
"Kanom Krok Wang Lang (Thai Coconut Pancake)","Wang Lang 椰子煎餅","ขนมครกนายภา","https://www.google.com/maps/search/?api=1&query=ChIJzZRB_aCZ4jARnJt1YoJSPfE&query_place_id=ChIJzZRB_aCZ4jARnJt1YoJSPfE","Street Food","Coconut pancake stall.","椰子煎餅攤","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7560940","100.4858060","🍢","TH","bangkok","kanom-krok-wang-lang-thai-coconut-pancake"
"Kao Man Ban Nok by Ban Nok Kok Na Khao Yai","鄉村咖啡 Kao Man Ban Nok（Khao Yai風格・Ramkhamhaeng）","ข้ามันบ้านนอก by บ้านนอกคอกนาเขาใหญ่","","Cafe","Khao Yai-themed farm cafe on Soi Ramkhamhaeng 125/1 (Hua Mak, Bang Kapi), bringing a countryside atmosphere to the city with food, drinks, cakes, baked goods, and community products. Open daily roughly 8:00-20:00.","位於邦卡比區華瑪縣拉抗恆125/1巷的Khao Yai風格農場咖啡廳，把鄉間氛圍搬進市區，供應餐點、飲品、蛋糕、烘焙點心與社區特色商品。每日約8:00-20:00營業。","https://www.wongnai.com/reviews/37f20a48b3c54fd9be1d99973cfae696","","Paused","","","☕","","","kao-man-ban-nok-ramkhamhaeng"
"KAO PIAK SEN BKK","KAO PIAK SEN BKK 越南餐廳","ข้าวเปียกเส้น BKK","https://www.google.com/maps/place/Kao+Piak+Sen+Gaysorn+Amarin+Vietnamese+Food+%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%9B%E0%B8%B5%E0%B8%A2%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99+%E0%B9%80%E0%B8%81%E0%B8%A9%E0%B8%A3+%E0%B8%AD%E0%B8%B1%E0%B8%A1%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C/@13.7436535,100.5413896,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29f0058d7fe25:0x56b4d025b871a67c!8m2!3d13.7436535!4d100.5413896!16s%2Fg%2F11w2b4dv9_?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","Vietnamese restaurant at Amarin Tower G floor, right corner. Online reservations available. Cozy atmosphere with attentive service. Recommended: chicken skewers, Vietnamese rice cake with fish floss topping. Beef salad bowl not recommended.","在 Amarin Tower G樓右側角落，可以提前網路預約。店裡氛圍舒服、服務態度好。同款：雞肉串、越南碗糕；牛肉沙拉碗較不推薦。
LingOrm 在 Taew 的越南餐廳聊天訪談
LingOrm at Taew's Vietnam restaurant
https://youtu.be/kXPn5Ch2Jv8?si=-l7LshYEiwgBVhvD","https://www.threads.com/@ddding._.dong/post/DMNK2DoxybR","Threads","Published","13.7436535","100.5413896","🍜","TH","bangkok","kao-piak-sen-bkk"
"Kate Teaw Boat Noodles Siam Square Soi 3","","เกศเตี๋ยว ก๋วยเตี๋ยวเรือ - สยามสแควร์ซอย 3 ","https://www.google.com/maps/place/เกศเตี๋ยว+ก๋วยเตี๋ยวเรือ+-+สยามสแควร์ซอย+3+(Kate+Teaw+Boat+Noodles+Siam+Square+Soi+3)/data=!4m2!3m1!1s0x30e29ffd0f2d987f:0xdcebc0dbef9b4c71?sa=X&ved=1t:242&ictx=111","Restaurant","LingOrm visited this restaurant.
https://www.instagram.com/reel/DE_kq6IS8xf/","LingOrm visited this restaurant
https://www.instagram.com/reel/DE_kq6IS8xf/","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7449514","100.5328839","🍽","TH","bangkok","kate-teaw-boat-noodles-siam-square-soi-3"
"Kateteaw Boat Noodles","船麵","เกศเตี๋ยว","https://maps.app.goo.gl/cSoLnAiy3ubXyMx99","Restaurant","Boat noodles with a slight herbal flavour. Multiple bowl sizes available (smallest ~฿29). Good for a light portion when you want to keep room for other spots. ✓ Visited.","有點草藥味，是好吃的船麵；有多種大小可以選，最小碗約฿29，適合想留胃給其他點時去。","https://www.threads.com/@ddding._.dong/post/DMNK2DoxybR","Threads","Published","13.7449510","100.5328840","🍜","TH","bangkok","kateteaw-boat-noodles"
"Khao Yai National Park","考艾國家公園","อุทยานแห่งชาติเขาใหญ่","https://www.google.com/maps/place/%E8%80%83%E8%89%BE%E5%9C%8B%E5%AE%B6%E5%85%AC%E5%9C%92/@14.3109229,101.5304415,17z/data=!3m1!4b1!4m6!3m5!1s0x311c2a495f2143d7:0x14b500fc4f22bfc!8m2!3d14.3109229!4d101.5304415!16zL20vMDNtMzhm?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Nature / Day-trip","Thailand's first national park & UNESCO World Heritage; ~2.5 hrs from Bangkok. Lingorm visited; KKday recommends a guided tour for bat caves, waterfalls, wildlife (deer, monkeys, elephants).","泰國第一座國家公園，也是 UNESCO 世界遺產，距曼谷約 2.5 小時車程。玲玲曾到訪；KKday 建議參加導覽行程探索蝙蝠洞、瀑布與野生動物。","https://www.kkday.com/zh-hk/blog/111889/lingorm-bangkok-itinerary-attractions-guide","KKday","Published","14.3109229","101.5304415","🌿","TH","khao-yai","khao-yai-national-park"
"Khlong Bang Luang Floating Market","空邦鑾水上市場","ตลาดชุมชนคลองบางหลวง / ตลาดน้ำคลองบางหลวง","https://www.google.com/maps/search?api=1&query=Khlong+Bang+Luang+Floating+Market&query_place_id=ChIJ3Wo3vEmY4jARGLbFN8BC7Yc","Shopping","Canalside market and historic community in Phasi Charoen, with galleries, cafes, craft stalls and souvenir shops. The supplied Threads video shows Ling and Orm walking through the market.","位於曼谷 Phasi Charoen 的運河畔市場與老社區，沿岸有畫廊、咖啡、手作攤位及紀念品店。來源 Threads 影片可見 Ling 與 Orm 在市場內同行。","https://www.threads.com/@bbonfft/post/Da502b9kyAZ, https://www.thailandtravel.or.jp/khlong-bang-luang-floating-market-khlong-bang-luang-artist-house, https://www.openstreetmap.org/way/1270934034","Threads","Published","13.7304234","100.4637539","🛍","TH","bangkok","khlong-bang-luang-floating-market"
"ประตูมอดินแดง (Khon Kaen University Gate)","孔敬大學莫丁登門","","https://www.google.com/maps/place/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%95%E0%B8%B9%E0%B8%A1%E0%B8%AD%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%81%E0%B8%94%E0%B8%87/@16.4760605,102.8325272,17z/data=!3m1!4b1!4m6!3m5!1s0x31228af24920deb9:0x6dda95ac91df191f!8m2!3d16.4760605!4d102.8325272!16s%2Fg%2F1hc6_l2st?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Neighbourhood","Khon Kaen University gate sign.","孔敬大學校門牌 Khon Kaen University","https://www.threads.com/@karenting1107/post/DZSOQgxAUr1","Threads","Published","16.4760600","102.8325270","🏘️","TH","khon-kaen","khon-kaen-university-gate"
"Koh Samui pin","蘇梅島踩點","","https://www.google.com/maps/place/9%C2%B031'58.4%22N+100%C2%B004'08.2%22E/@-9.2502959,-11.3378062,3z/data=!4m4!3m3!8m2!3d9.5328889!4d100.0689444?entry=tts&g_ep=EgoyMDI2MDcxNS4wIPu8ASoASAFQAw%3D%3D&skid=e5e29638-b89c-4982-b83a-956ff66d1e18","Neighbourhood","Koh Samui three-day, two-night trip — 🌴 coconut tree photo spot.
https://www.threads.com/@___epoh___/post/DSAM_XEGBLH","蘇梅島三天兩夜 - 🌴 椰子樹拍照點 Koh Samui 3 days trip - 🌴 Coconut Tree photo scene https://www.threads.com/@___epoh___/post/DSAM_XEGBLH","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","9.5341813","100.0669323","🏘️","TH","koh-samui","koh-samui-pin"
"kokoa - ice cream & coffee artisans (SALA)","kokoa 冰淇淋咖啡（SALA）","","https://www.google.com/maps/place/kokoa+-+ice+cream+%26+coffee+artisans+(SALA)/@9.5378992,100.0695301,17z/data=!3m1!4b1!4m6!3m5!1s0x3054f1c5cce1cffb:0x551ae4cab42cba1a!8m2!3d9.5378992!4d100.0695301!16s%2Fg%2F11tk8p5jc6?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Cafe","Koh Samui three-day, two-night trip — the popsicle Orm had.

https://www.threads.com/@___epoh___/post/DSAM_XEGBLH","蘇梅島三天兩夜 - Orm 吃的冰棒
Koh Samui 3 days trip - Orm tried the popsicles

https://www.threads.com/@___epoh___/post/DSAM_XEGBLH","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","9.5379030","100.0695230","☕","TH","koh-samui","kokoa-ice-cream-coffee-artisans-sala"
"Kolun.h","Kolun.h","ขนมจีนไหหลำโกหลุ่น","https://www.google.com/maps/place/%E6%B5%B7%E5%8D%97%E6%8A%B1%E7%BE%85%E7%B2%89/@13.7535363,100.4999961,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29913ddb0e401:0x92e85755c46b460e!8m2!3d13.7535363!4d100.4999961!16s%2Fg%2F1s04fp0g7?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","As a LingOrm fan, of course I had to follow in my idols’ footsteps and try the food. After seeing LingLing Kwong’s 2023 Instagram post, I was sure this place would be delicious 😋, so I included it in this Thailand trip. I showed the young staff member the dishes 00 had ordered, and he was very surprised and delighted to learn that 00K had eaten at their restaurant.
The crispy pork was wonderfully crisp and delicious, the rice noodles were delightfully chewy, and the broth was very flavorful. Their house-made shrimp-paste chili made everything taste even better. It was super delicious 😋, and I recommend trying it if you have the chance.

Dined on April 6, 2026.","身為LingOrm粉絲的我，肯定要跟著偶像的腳步吃美食，看到LingLing Kwong 2023年的IG貼文，就覺得這家肯定好吃😋，所以此趟泰國旅行，我也安排前往用餐，還給店家小弟弟看了00當初所點的餐點，他非常的驚訝與驚喜原來00K有到過他們的餐廳用餐。
酥皮燒肉非常的酥脆可口、粉條非常的Q彈美味、湯頭非常的味美，加上他們自製的蝦醬辣椒，味道更加提升，超級好吃😋，推薦大家有機會也可以嚐嚐看喔。

#2026年04月06日用餐","https://maps.app.goo.gl/YdwQm3iPQfp6htLh6","Threads","Published","13.7535363","100.4999961","🍽","TH","bangkok","kolun-h"
"Kwong Kee Roast - 鄺記","鄺記燒臘","","https://www.google.com/maps/place/Kwong+Kee+Roast+-+%E9%84%BA%E8%A8%98/@13.7351929,100.5274694,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29905583b6c4f:0x836f30f60865c98b!8m2!3d13.7351929!4d100.5274694!16s%2Fg%2F11yhb1hm87?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","","","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7351929","100.5274694","🍽","TH","bangkok","kwong-kee-roast"
"Lobster City","Lobster City 龍蝦城","","https://www.google.com/maps/search/?api=1&query=Lobster+City+Bangkok","Restaurant","Famous for high-value shrimp rice; KKday notes long queues—arrive early or off-peak. Lingorm-adjacent recommendation.","以高 CP 值蝦肉飯聞名；KKday 提醒常需排隊，建議提早或離峰前往。屬玲玲相關推薦。","https://www.kkday.com/zh-hk/blog/111889/lingorm-bangkok-itinerary-attractions-guide","KKday","Published","13.7400000","100.5223000","🦐","TH","bangkok","lobster-city"
"Long Phung Buffet - Seafood & Mookata","Long Phung 海鮮豬肉火烤吃到飽","ลงพุง บุฟเฟ่ต์ - ซีฟู้ดแอนด์หมูกระทะ","","Restaurant","Seafood and mookata (Thai BBQ hot pot) buffet at 5225 Pracha Songkhro Rd (Soi Pracha Songkhro 29), Din Daeng / Huai Khwang. 299 THB/person incl. refillable drinks, live shrimp catching, unlimited time, open 16:00-24:00.","位於Din Daeng／惠恭區Pracha Songkhro路5225號（巷29）的海鮮豬肉火烤吃到飽餐廳，299泰銖/人（含無限暢飲），可現撈活蝦，不限時，營業16:00-24:00。","https://www.threads.com/@kinkengpainai/post/DJDmaOcPOw-","Threads","Paused","","","🍽","","","long-phung-buffet-seafood-mookata"
"Mae Varee Mango Sticky Rice","Mae Varee 芒果糯米飯（東羅 Thong Lo）","ข้าวเหนียวมะม่วงแม่วารี","","Street Food","30+ year old mango sticky rice stall near Thong Lo BTS Exit 3 (1 Soi Sukhumvit 55, Khlong Tan Nuea, Watthana). Uses Nam Dok Mai mangoes with coconut sticky rice in original/pandan/butterfly pea/turmeric versions. Takeaway only, 6:00-22:00 daily.","位於東羅Thong Lo BTS站3號出口附近，開業超過30年的芒果糯米飯名店，使用芒果搭配椰漿糯米飯，有原味、香蘭、蝶豆花、薑黃等口味。只賣外帶，每天早上6點到晚上10點營業。","https://danielfooddiary.com/2024/08/19/maevaree/","","Paused","","","🍜","","","mae-varee-mango-sticky-rice"
"Maison Charoenkrung","Maison Charoenkrung 精品店","","https://www.google.com/maps/place/Maison+CHAROENKRUNG/@13.7283825,100.5143683,17z/data=!3m1!4b1!4m6!3m5!1s0x30e2995d74e632d9:0x698596960d5621a1!8m2!3d13.7283825!4d100.5143683!16s%2Fg%2F11k51rln8r?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Shopping","Boutique clothing store on Charoenkrung road; Lingorm-associated fashion brand/store, per @nightviper74 comment (possible P'Korn brand context).","位於 Charoenkrung 路的服飾精品店；根據 @nightviper74 留言，與 Lingorm 相關穿搭／品牌脈絡有關。","https://www.threads.com/@nightviper74/post/DId7paOJUKp","Threads","Published","13.7283825","100.5143683","👗","TH","bangkok","maison-charoenkrung"
"Mil Toast House (EmQuartier)","Mil Toast House（小奧同款，EmQuartier）","Mil Toast House","https://www.google.com/maps/place/Mil+Toast+House+-+The+EmQuartier/@13.7319803,100.5697512,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29f057dc9bf89:0x7b1a6d7d7d6eca9e!8m2!3d13.7319803!4d100.5697512!16s%2Fg%2F11k4sv1c2s?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Cafe","Upscale toast café — Xiao Ao's location (EmQuartier branch). Pricey. Didn't visit this trip. To visit. Recommended: Cereal Toast, Strawberry Toast Stick.","小奧的是這家（EmQuartier），偏貴的吐司系咖啡廳，這次沒有排到下次要去！同款：Cereal Toast、Strawberry Toast Stick","https://www.threads.com/@ddding._.dong/post/DMNK2DoxybR","Threads","Published","13.7319803","100.5697512","🍞","TH","bangkok","mil-toast-house-emquartier"
"Mil Toast House (Siam branch)","Mil Toast House（鄺鄺和junji同款）","Mil Toast House","https://www.google.com/maps/place/Mil+Toast+House+-+Siam+Square+Soi+3/@13.7448695,100.5329195,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29f9208f309c7:0xf21a132a4456c847!8m2!3d13.7448695!4d100.5329195!16s%2Fg%2F11n85bhyc7?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Cafe","Upscale toast café — Kwan (鄺) and Junji's location. Pricey. Didn't visit this trip. To visit. Recommended: Cereal Toast, Strawberry Toast Stick.","鄺鄺和junji的應該是這家，偏貴的吐司系咖啡廳，這次沒有排到下次要去！同款：Cereal Toast、Strawberry Toast Stick","https://www.threads.com/@ddding._.dong/post/DMNK2DoxybR","Threads","Published","13.7448695","100.5329195","🍞","TH","bangkok","mil-toast-house-siam-branch"
"Ministry of Crab Bangkok","曼谷蟹之省","","https://maps.app.goo.gl/jHuCSWTM1XnuAb2P9","Restaurant","Famous for Sri Lankan giant crab (multiple sizes incl. 'OMG Size'); Lingorm featured in KKday luxury segment. Busy—reserve ahead.","斯里蘭卡巨蟹名店，提供多種尺寸包含「OMG Size」；出現在 KKday 玲玲奢華行程中。人氣高，建議提前訂位。","https://www.kkday.com/zh-hk/blog/111889/lingorm-bangkok-itinerary-attractions-guide","KKday","Published","13.7360000","100.5666000","🦀","TH","bangkok","ministry-of-crab-bangkok"
